127.0.0.1 - - [16/Nov/2022:00:23:12 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/home HTTP/1.1" 200 27681
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/js/jquery-migrate-3.0.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/js/magnific-popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/js/owl-carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/js/script.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/js/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/js/colors.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [16/Nov/2022:00:23:13 +0700] "GET /WebsiteBookStore/js/slicknav.min.js HTTP/1.1" 304 -
